product_name,energy_rating,energy_consumption
AC - Cooling,1.5,2.11
AC - Cooling,2.0,1.73
AC - Cooling,2.5,1.66
AC - Cooling,3.0,0.92
AC - Cooling,3.5,1.09
AC - Cooling,4.0,0.94
AC - Cooling,4.5,0.58
AC - Heating,1.5,2.43
AC - Heating,2.0,1.75
AC - Heating,2.5,1.75
AC - Heating,3.0,1.35
AC - Heating,3.5,1.23
AC - Heating,4.0,1.01
AC - Heating,4.5,1.07
Cloth Dryer,1.5,396.58
Cloth Dryer,2.0,289.32
Cloth Dryer,2.5,240.8
Cloth Dryer,3.0,195.17
Cloth Dryer,3.5,201.07
Cloth Dryer,4.0,169.88
Cloth Dryer,4.5,136.0
Cloth Washer,1.5,751.86
Cloth Washer,2.0,552.4
Cloth Washer,2.5,499.47
Cloth Washer,3.0,502.36
Cloth Washer,3.5,395.55
Cloth Washer,4.0,323.34
Cloth Washer,4.5,259.43
TV,1.5,1276.0
TV,2.0,994.87
TV,2.5,690.39
TV,3.0,640.88
TV,3.5,462.14
TV,4.0,438.71
TV,4.5,370.05
Monitor,1.5,246.31
Monitor,2.0,214.82
Monitor,2.5,199.38
Monitor,3.0,164.47
Monitor,3.5,154.09
Monitor,4.0,129.75
Monitor,4.5,109.68
