"type","month_added","2014","2015","2016","2017","2018","2019","2020"
"Movie","Apr",1,1,14,66,87,121,130
"Movie","Aug",1,2,24,77,135,92,83
"Movie","Dec",5,16,52,79,126,172,101
"Movie","Feb",1,3,9,66,64,113,71
"Movie","Jan",2,1,15,58,108,123,164
"Movie","Jul",1,5,19,45,128,102,103
"Movie","Jun",1,4,11,65,50,127,119
"Movie","Mar",0,3,14,102,137,119,96
"Movie","May",0,5,9,63,73,110,109
"Movie","Nov",2,2,28,57,119,195,103
"Movie","Oct",4,10,34,99,145,132,117
"Movie","Sep",1,6,29,86,83,92,116
"TV Show","Apr",1,4,9,29,31,50,58
"TV Show","Aug",0,0,17,38,34,53,61
"TV Show","Dec",1,7,42,40,65,49,74
"TV Show","Feb",1,1,7,18,24,46,46
"TV Show","Jan",0,1,30,15,22,39,64
"TV Show","Jul",0,3,10,35,30,67,53
"TV Show","Jun",0,4,8,30,28,48,49
"TV Show","Mar",0,2,4,38,38,60,56
"TV Show","May",0,2,4,25,26,51,64
"TV Show","Nov",3,2,18,31,41,76,56
"TV Show","Oct",0,5,18,32,46,71,58
"TV Show","Sep",1,3,19,33,44,44,62
